Stating that
that the
the huge
huge mandate
mandate was
was "scary",
"scary", he
he said
said it
it would
would give
give the
the AAP
AAP government
government the
the "responsibility
"responsibility of
of listening
listening to
to voices
voices of
of dissent,
dissent, especially
especially of
of the
the 32
32 percent
percent who
who voted
voted for
for the
the BJP
BJP and
and the
the others,
others, and
and the
the responsibility
responsibility of
of proving
proving to
to be
be the
the carrier
carrier of
of an
an alternative
alternative politics".
