The risks
risks of
of deflation
deflation –
– the
the potentially
potentially debilitating
debilitating phenomenon
phenomenon that
that starts
starts with
with falling
falling prices
prices but
but can
can lead
lead to
to long
g a
a majority
majority of
of economists
economists by
by surprise
surprise and
and prompting
prompting market
market speculation
speculation that
that Beijing
Beijing will
will intensify
intensify its
its targeted
targeted stimulus
stimulus programmes.
programmes. Most
Most analysts
analysts had
had expected
expected the
the CPI
CPI to
to remain
remain above
above the
the 1.0
1.0 line.
