Now what
what to
to do?
do? While
While discussing
discussing our
our situation,
situation, we
we heard
heard a
a truck
truck in
in the
the far
far distance.
distance. Luckily
Luckily it
it was
was driving
driving our
our way
way and
and Demelash
Demelash stopped
stopped it
it to
to explain
explain our
our situation.
situation. The
The men
men were
were willing
willing to
to help
help for
for 1000
1000 bir.
bir. Alexandra
Alexandra got
got really
really angry
angry and
and was
was scolding
scolding them.
them. Her
Her argument
argument was
was that
that we
we helped
helped other
other Ethiopian
Ethiopian people
people a
a lot
lot and
and now
now when
when we
we need
need help
help they
they demand
demand extraordinary
extraordinary amounts
amounts of
of money.
money. BUT
BUT this
this is
is Africa
Africa as
as well.
well. I
I offered
offered 300
300 birr
birr and
and finally
finally for
for 500
500 birr
birr they
they towed
towed us
us the
the 100
100 meter
meter that
that were
were necessary
necessary to
to continue
continue back.
back. Demelash
Demelash meant
meant that
that was
was the
the worst
worst spot,
spot, we
we would
would manage
manage it
it now
now back
back until
until Jinka.
Jinka. These
These situations
situations happen
happen frequently
frequently on
on an
an African
African trip,
trip, where
where you
you have
have to
to bargain
bargain hard,
hard, although
although you
you are
are in
in troubles.
troubles. It
It was
was still
still 30
30 km
km back
back to
to our
our campsite,
campsite, I
I considered
considered changing
changing the
the tires
tires but
but decided
decided against
against it,
it, so
so we
we continued
continued on
on the
the carcass,
carcass, had
had to
to cross
cross a
a river
river and
and in
in Jinka
Jinka we
we tried
tried to
to get
get tires
tires but
but they
they were
were not
not available
available in
in our
our size.
size. So
So we
we had
had to
to change
change tires
tires and
and continue
continue without
without spare
spare wheels,
wheels, which
which might
might be
be rather
rather risky
risky in
in this
this area.
area. Back
Back at
at the
the hotel
hotel I
I changed
changed both
both front
front tires,
tires, so
so we
we had
had only
only these
these two
two ruined
ruined tires
tires as
as spares.
spares. I
I thought
thought that
that at
at least
least for
for emergency
emergency they
they would
would make
make the
the job
job and
and we
we would
would try
try to
to get
get tires
tires in
in Turmi
Turmi next
next day.
day. Lesson:
Lesson: Never
Never go
go without
without two
two spare
spare wheels,
wheels, we
we were
were glad
glad we
we had.
