The research
research comes
comes at
at the
the same
same that
that time
time the
the White
White House
House is
is pushing
pushing new
new rules
rules for
for America's
America's flood-prone
flood-prone buildings,
buildings, which
which put
put climate
climate science
science at
at the
the center
center of
of federal
federal regulations.
regulations. At
At the
the end
end of
of last
last month,
month, President
President Obama
Obama issued
issued an
an executive
executive order
order to
to implement
implement a
a new
new "Federal
"Federal Flood
Flood Risk
Risk Management
Management Standard,"
Standard," designed
designed to
to reduce
reduce risks
risks and
and cut
cut the
the costs
costs of
of future
future flood
flood disasters.
disasters. But
But the
the president's
president's plan
plan is
is being
being met
met by
by Republican
Republican opposition—mainly
opposition—mainly from
from senators
senators whose
whose states
states border
border the
the Gulf
Gulf of
of Mexico.
Mexico. These
These lawmakers
lawmakers question
question the
the legality
legality of
of the
the executive
executive order
order and
and imply
imply that
that the
the White
White House
House didn't
didn't do
do enough
enough to
to solicit
solicit input
input before
before drafting
drafting the
the order.
