Thank you, Graham,
you, Graham, for
Graham, for everything
for everything you
everything you do!
you do! All
do! All your
All your articles
your articles are
articles are very
are very interesting,
very interesting, your
interesting, your photos
your photos are
photos are wonderful!
are wonderful! Could
wonderful! Could you
Could you tell
you tell your
tell your view,
your view, please,
view, please, if
please, if Ukrainians
if Ukrainians and
Ukrainians and Russians
and Russians are
Russians are similar?
are similar? Many
similar? Many people
Many people are
people are lost
are lost now
lost now but
now but do
but do you
do you feel
you feel there
feel there is
there is something
is something that
something that combine
that combine us?
