Ps.I am pretty
am pretty certain
pretty certain Beyonce
certain Beyonce doesn’t
Beyonce doesn’t need
doesn’t need you
need you fighting
you fighting any
fighting any battles
any battles on
battles on her
on her account.
her account. Seems
account. Seems like
Seems like she’s
like she’s got
she’s got everything
got everything covered
everything covered perfectly
covered perfectly well
perfectly well on
well on her
on her own.
acity of all
of all artists
all artists when
artists when you
when you go
you go so
go so rudely
so rudely and
rudely and savagely
and savagely after
savagely after such
after such an
such an accomplished
an accomplished and
accomplished and humble
and humble artist
humble artist like
artist like BECK.
like BECK. You
BECK. You make
You make yourself
make yourself look
yourself look small
look small and
small and petty
and petty and
petty and spoilt.
and spoilt. In
spoilt. In attempting
In attempting to
attempting to reduce
to reduce the
reduce the importance
the importance of
importance of one
of one great
one great talent
great talent over
talent over another,
over another, you
another, you make
you make a
make a mockery
a mockery of
mockery of all
of all musicians
all musicians and
musicians and music
and music from
music from every
from every genre,
every genre, including
genre, including your
including your own.
your own. Grow
own. Grow up
Grow up and
up and stop
and stop throwing
stop throwing your
throwing your toys
your toys around.
toys around. You
around. You are
You are making
are making yourself
making yourself look
yourself look like
look like a
like a complete
a complete twat.
