Pacific Life's
Life's individual
individual life
life insurance
insurance products
products are
are marketed
marketed exclusively
exclusively through
through independent
independent third-party
third-party life
life insurance
insurance producers,
producers, which
which may
may include
include bank
bank affiliated
affiliated entities.
entities. Some
Some selling
selling entities
entities may
may limit
limit availability
availability of
of some
some optional
optional riders
riders based
based on
on their
their client's
client's age
age and
and other
other factors.
 may
may vary
vary by
by state.
state. Each
Each insurance
insurance company
company is
is solely
solely responsible
responsible for
for the
the financial
financial obligations
obligations accruing
accruing under
under the
the products
products it
it issues.
issues. Insurance
Insurance products
products and
and their
their guarantees,
guarantees, including
including optional
optional benefits
benefits and
and any
any crediting
crediting rates,
rates, are
are backed
backed by
by the
the financial
financial strength
strength and
and claims-paying
claims-paying ability
ability of
of the
the issuing
issuing insurance
insurance company.
company. Look
Look to
to the
the strength
strength of
of the
the life
life insurance
insurance company
company with
with regard
regard to
to such
such guarantees,
guarantees, as
as these
these guarantees
guarantees are
are not
not backed
backed by
by the
the broker-dealer,
broker-dealer, insurance
insurance agency
agency or
or their
their affiliates
affiliates from
from which
which products
products are
are purchased.
purchased. Neither
Neither these
these entities
entities nor
nor their
their representatives
representatives make
make any
any representation
representation or
or assurance
assurance regarding
regarding the
the claims-paying
claims-paying ability
ability of
of the
the life
life insurance
insurance company.
