Another thing
thing made
made the
the sights
sights of
of the
the doctors
doctors towards
towards Dubai,
Dubai, that
that there
there is
is less
less competition
competition in
in the
the Gulf
Gulf area
area and
and an
an opportunity
opportunity to
to maintain
maintain quality
quality and
and high
high prices.
prices. Also
Also we
we should
should say
say that
that the
the cosmetic
cosmetic operations
operations organizations
organizations in
in United
United Arab
Arab Emirates
Emirates had
had referred
referred that
that its
its council
council had
had increased
increased its
its size
size to
to reach
reach 150
150 members
members during
during the
the last
last 8
8 years,
years, and
and those
those 150
150 surgeons
surgeons are
are based
based in
in Dubai.
