A .400 hitter
.400 hitter and
hitter and a
and a pair
a pair of
pair of .300
of .300 swatters
.300 swatters are
swatters are back
are back to
back to lead
to lead the
lead the squad
the squad on
squad on offense
on offense as
offense as junior
as junior catcher
junior catcher Emily
catcher Emily Isla
Emily Isla returns
Isla returns after
returns after a
after a .422
a .422 campaign.
.422 campaign. Junior
campaign. Junior second
Junior second baseman
second baseman Desi
baseman Desi Hengoed,
Desi Hengoed, who
Hengoed, who along
who along with
along with Isla
with Isla was
Isla was a
was a '14
a '14 All-GLIAC
'14 All-GLIAC Honorable
All-GLIAC Honorable Mention
Honorable Mention selection,
Mention selection, returns
selection, returns after
returns after posting
after posting a
posting a .379
a .379 average
.379 average and
average and leading
and leading the
leading the squad
the squad in
squad in home
in home runs
home runs (4),
runs (4), RBI's
(4), RBI's (35)
RBI's (35) and
(35) and slugging
and slugging percentage
slugging percentage (.621).
percentage (.621). Junior
(.621). Junior shortstop
Junior shortstop Alexa
shortstop Alexa Holztrager,
Alexa Holztrager, who
Holztrager, who tallied
who tallied a
tallied a .333
a .333 average
.333 average with
average with a
with a pair
a pair of
pair of home
of home runs,
home runs, also
runs, also looks
also looks to
looks to keep
to keep the
keep the 2015
the 2015 offense
2015 offense attack
offense attack on
attack on track.
